Dato + Tid,Volum,Globalstraling,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Lufttrykk,Vindkast
2020-05-19,90.58333333333333,321.9013888888889,35.6,8.047222222222222,304.46527777777777,2.538194444444444,1011.8355555555555,4.35
2020-05-20,88.41666666666667,303.3236111111111,30.2375,10.27875,170.6861111111111,1.7263888888888888,1016.2159722222223,3.05625
2020-05-21,46.958333333333336,186.79069444444443,9.7375,14.212499999999999,167.46527777777777,2.7381944444444444,1014.2209722222223,4.575694444444444
2020-05-22,44.583333333333336,90.83749999999999,1.0,14.106250000000001,149.27777777777777,5.993055555555556,1002.6506944444444,10.341666666666667
2020-05-23,28.166666666666668,165.64166666666668,0.0,10.322916666666666,157.7722222222222,6.2572222222222225,997.3145833333333,10.315972222222221
2020-05-24,18.0,83.95347222222223,0.0,9.350694444444445,251.6597222222222,3.2090277777777776,1003.3201388888889,5.509722222222223
2020-05-25,93.75,174.99027777777778,8.354166666666666,10.08236111111111,286.65277777777777,2.2381944444444444,1023.5154166666666,3.7083333333333335
2020-05-26,79.25,72.51597222222222,0.25,10.759722222222223,181.29444444444445,3.633194444444445,1026.0858333333333,5.397916666666667
2020-05-27,82.91666666666667,188.7222222222222,6.8,9.879861111111111,280.42361111111114,2.5909722222222222,1027.6136111111111,4.839583333333334
2020-05-28,98.25,272.7993055555556,25.47083333333333,10.569444444444445,282.8125,2.234027777777778,1027.5840277777777,3.910416666666667
2020-05-29,86.04166666666667,316.2604166666667,39.32083333333333,12.893749999999999,256.34722222222223,1.7618055555555554,1024.7930555555556,3.0104166666666665
2020-05-30,52.625,317.98125,39.766666666666666,16.840972222222224,244.17777777777778,1.7236111111111112,1024.4727777777778,2.858333333333333
2020-05-31,47.541666666666664,295.6048611111111,35.25833333333333,17.29652777777778,248.47916666666666,2.1555555555555554,1024.9701388888889,3.7062500000000003
2020-06-01,50.833333333333336,271.29583333333335,30.525000000000002,15.966666666666667,211.7222222222222,1.7180555555555557,1022.3651388888889,3.1625
2020-06-02,109.81818181818181,276.2765151515151,32.98636363636364,14.011212121212122,251.66666666666669,1.9363636363636365,1012.785606060606,3.2659090909090907
